event_id,event_name
353,UFC Fight Night: Holloway vs Oliveira
354,UFC Fight Night: Teixeira vs Saint Preux
355,UFC 190: Rousey vs Correia
356,UFC on FOX: Dillashaw vs. Barao II
357,UFC Fight Night: Bisping vs Leites
358,UFC Fight Night: Mir vs Duffee
359,The Ultimate Fighter: American Top Team vs. Blackzilians Finale
360,UFC 189: Mendes vs McGregor
361,UFC Fight Night: Machida vs Romero
362,UFC Fight Night: Jedrzejczyk vs Penne
363,UFC 188: Velasquez vs Werdum
364,UFC Fight Night: Boetsch vs Henderson
365,UFC Fight Night: Condit vs Alves
366,UFC 187: Johnson vs Cormier
367,UFC Fight Night: Edgar vs Faber
368,UFC Fight Night: Miocic vs Hunt
369,UFC 186: Johnson vs Horiguchi
370,UFC on FOX: Machida vs Rockhold
371,UFC Fight Night: Gonzaga vs Cro Cop 2
372,UFC Fight Night: Mendes vs Lamas
373,UFC Fight Night: Maia vs LaFlare
374,UFC 185: Pettis vs Dos Anjos
375,UFC 184: Rousey vs Zingano
376,UFC Fight Night: Bigfoot vs Mir
377,UFC Fight Night: Henderson vs Thatch
378,UFC 183: Silva vs Diaz
379,UFC on FOX: Gustafsson vs Johnson
380,UFC Fight Night: McGregor vs Siver
381,UFC 182: Jones vs Cormier
382,UFC Fight Night: Machida vs Dollaway
383,UFC on FOX: Dos Santos vs Miocic
384,The Ultimate Fighter: A Champion Will Be Crowned Finale
385,UFC 181: Hendricks vs Lawler II
386,UFC Fight Night: Edgar vs Swanson
387,UFC 180: Werdum vs Hunt
388,UFC Fight Night 56: Shogun vs Saint Preux
389,UFC Fight Night: Rockhold vs Bisping
390,UFC 179: Aldo vs Mendes 2
391,UFC Fight Night: MacDonald vs Saffiedine
392,UFC Fight Night: Nelson vs Story
393,UFC 178: Johnson vs Cariaso
394,UFC Fight Night: Hunt vs Nelson
395,UFC Fight Night: Bigfoot vs Arlovski
396,UFC Fight Night: Jacare vs Mousasi
397,UFC 177: Dillashaw vs Soto
398,UFC Fight Night: Henderson vs Dos Anjos
399,UFC Fight Night: Bisping vs Le
400,UFC Fight Night: Bader vs Saint Preux
401,UFC on FOX: Lawler vs Brown
402,UFC Fight Night: McGregor vs Brandao
403,UFC Fight Night: Cowboy vs Miller
404,The Ultimate Fighter: Team Edgar vs. Team Penn Finale
405,UFC 175: Weidman vs Machida
406,UFC Fight Night: Swanson vs Stephens
407,UFC Fight Night: Te Huna vs Marquardt
408,UFC 174: Johnson vs Bagautinov
409,UFC Fight Night: Henderson vs Khabilov
410,UFC Fight Night: Miocic vs Maldonado
411,UFC Fight Night: Munoz vs Mousasi
412,UFC 173: Barao vs Dillashaw
